titre,nom,stars,localisation,nb_reviews,date_review,date_experience,comment
The task at hand was handled  very…,CHERYL L,Rated 5 out of 5 stars,US,1 review,2019-05-08T13:19:43.000Z,,The task at hand was handled  very well. Very polite. Well done.
They replaced our lost phone very…,DEBORAH B,Rated 5 out of 5 stars,US,1 review,2019-05-08T12:58:18.000Z,,They replaced our lost phone very quickly. I honestly thought it would take longer. They are great.
Very fast service,danny sandhu,Rated 5 out of 5 stars,US,3 reviews,2019-05-08T12:47:09.000Z,,Very fast service. I got my device next day.
Great service!,HOWARD P,Rated 5 out of 5 stars,US,3 reviews,2019-05-08T12:39:57.000Z,,Everything from start to finish was great! Gabriel who fixed my phone is awesome!!
The replacement phone arrived within 24…,Terry,Rated 5 out of 5 stars,US,1 review,2019-05-08T12:22:39.000Z,,The replacement phone arrived within 24 hours the entire experience was excellent.
Easy and fast service over the phone.,Scott,Rated 5 out of 5 stars,US,1 review,2019-05-08T12:15:36.000Z,,
Great service,Jodi Haling,,US,2 reviews,2019-05-08T12:00:28.000Z,,"Great service, no reservations, great company to work with..."
Been nice for some reasoning,Louisa Schmolinsky,Rated 2 out of 5 stars,US,3 reviews,2019-05-08T11:48:48.000Z,,Denied the claim and then never did give a reason.  Waited around sent the info in you requested.  Ended up going and buying a prepaid phone to be able to get by.
Always a smooth process,Tracy,Rated 5 out of 5 stars,US,2 reviews,2019-05-08T11:48:20.000Z,,
Accurate good service thank you,JENNIFER D,Rated 4 out of 5 stars,US,1 review,2019-05-08T11:02:32.000Z,,
Very helpful and compassionate-…,Donna,Rated 5 out of 5 stars,US,1 review,2019-05-08T11:02:17.000Z,,Very helpful and compassionate- replacement phone arrived in 24 hrs!
Quick and easy,HARLAND J,Rated 5 out of 5 stars,US,1 review,2019-05-08T10:47:51.000Z,,
Great service,Don,Rated 5 out of 5 stars,US,2 reviews,2019-05-08T09:56:07.000Z,,Delivery of the phone was quick and the online process to file a claim for my phone was quick.
Good job,IVERY C,Rated 4 out of 5 stars,US,1 review,2019-05-08T09:33:31.000Z,,Good job!!! Good job!!!
Phone and gear insured arrived the next…,KRISTOPHER K,Rated 5 out of 5 stars,US,1 review,2019-05-08T08:11:18.000Z,,Phone and gear insured arrived the next day. Support helped me set everything up with a quickness.
Fast and great service,Eddie,Rated 5 out of 5 stars,US,1 review,2019-05-08T04:30:59.000Z,,
Fast and efficient!,Richard,Rated 5 out of 5 stars,US,1 review,2019-05-08T03:48:18.000Z,,
No questions asked I paid the monthly…,David,Rated 5 out of 5 stars,US,1 review,2019-05-08T03:05:55.000Z,,No questions asked I paid the monthly fee you took care of me when I needed it
The representative I worked with was…rep was wonderful,Genevieve,Rated 5 out of 5 stars,US,3 reviews,2019-05-08T03:04:08.000Z,,The representative I worked with was wonderful and soooo helpful. Made having a broken phone replaced easy.
Great service,Rocio,Rated 5 out of 5 stars,US,1 review,2019-05-08T02:44:17.000Z,,Great service. Easy to file the claim.
The end result was good,Lynn S,Rated 4 out of 5 stars,US,4 reviews,2019-05-08T02:08:40.000Z,,"The end result was good, but getting there wasn't as smooth as I'd have liked. I certainly understand & appreciate the security, but it took numerous calls & correspondence. My daughters phone was the issue. She is on my account. After speaking to a rep, she informed me that I needed a pin #. I have never used a pin, so had to call & get that updated. Then I had to download an affidavit & get pic of my license. Those had to then be forwarded. Once all that was done, she received her phone promptly. Also, since the phone isn't yet paid for, I'm not happy that the amount she has to pay is so high. The phone would no longer take a charge. It was only a little over a year old."
Uploading,Richard,Rated 3 out of 5 stars,US,1 review,2019-05-08T01:00:15.000Z,,It’s a bit of a pain in the butt to upload documents when you have no phone. Took longer than expected to ship but phone came in good condition.
Concerned  about the price of…,Sean,Rated 5 out of 5 stars,US,2 reviews,2019-05-08T00:27:34.000Z,,Concerned  about the price of deductible  but did send old phone back today
Quick simple and easy.,Richard,Rated 5 out of 5 stars,US,2 reviews,2019-05-07T23:36:28.000Z,,
Online process is streamlined for quick…,Tina,Rated 5 out of 5 stars,US,1 review,2019-05-07T23:12:32.000Z,,"Online process is streamlined for quick service and since I had questions, customer service helped fill in the answers."
Process was excellently efficient and…,Eyitayo,Rated 5 out of 5 stars,US,2 reviews,2019-05-07T22:53:58.000Z,,Process was excellently efficient and painless. All online. Did not have to speak with a person. I love it!
Awesome,Edna Gonzalez,Rated 5 out of 5 stars,US,2 reviews,2019-05-07T22:39:29.000Z,,Quick services
Great service,James,Rated 5 out of 5 stars,US,1 review,2019-05-07T22:13:25.000Z,,Web site was easy to fill out and fast delivery of my replacement phone.
The best service we ever got.,WILLIAM C,Rated 5 out of 5 stars,US,1 review,2019-05-07T21:28:11.000Z,,
Live directions,CHUCK K,Rated 3 out of 5 stars,US,1 review,2019-05-07T20:20:17.000Z,,Live directions - speaking to your repswere confusing
Fast and good service,Gurpal Ghag,Rated 5 out of 5 stars,US,1 review,2019-05-07T19:41:31.000Z,,
Great customer service!,Lisa,Rated 5 out of 5 stars,US,1 review,2019-05-07T19:08:37.000Z,,Very helpful and quickly replaced the phone!
Great service,LYDIA M,Rated 5 out of 5 stars,US,2 reviews,2019-05-07T18:59:00.000Z,,
Thank you for the great service and…,CHARLOTTE H,Rated 5 out of 5 stars,US,1 review,2019-05-07T18:26:24.000Z,,Thank you for the great service and quick turnaround!
It was quick and very profesional,Herrera,Rated 5 out of 5 stars,US,1 review,2019-05-07T18:23:10.000Z,,
Thank you,Misha,Rated 5 out of 5 stars,US,1 review,2019-05-07T18:21:15.000Z,,No problems everything went well
Claims was done fast and phones came in…,Britney,Rated 5 out of 5 stars,US,1 review,2019-05-07T17:58:03.000Z,,Claims was done fast and phones came in one day. Thanks
great service very friendly and had my…,Lance,Rated 5 out of 5 stars,US,3 reviews,2019-05-07T17:49:40.000Z,,great service very friendly and had my device in a day.
Received my new phone overnight,Michelle,Rated 5 out of 5 stars,US,1 review,2019-05-07T17:25:51.000Z,,Received my new phone overnight! Amazing!
You did excellent,Frank,Rated 5 out of 5 stars,US,1 review,2019-05-07T17:12:55.000Z,,You did excellent And in a timely manner
The procedure was quick and easy and we…,Thomas,Rated 5 out of 5 stars,US,1 review,2019-05-07T16:29:21.000Z,,The procedure was quick and easy and we Got the phone within 3 days
Very opportunistic and fast delivery,Bustamante Barba Llc,Rated 5 out of 5 stars,US,1 review,2019-05-07T16:19:31.000Z,,
The techs were very helpful,Dianne ( Arnold's wife),Rated 5 out of 5 stars,US,1 review,2019-05-07T16:16:33.000Z,,"The techs were very helpful. But it took way too long to figure out I had a faulty SIM card. After I went into the ATT store & got a new SIM , the tech was able to get me up & running quickly."
Nice service,Tasha Klockow,Rated 5 out of 5 stars,US,1 review,2019-05-07T16:02:58.000Z,,Quick turnaround!
None at this time doing great👍,Juan,Rated 5 out of 5 stars,US,1 review,2019-05-07T15:47:35.000Z,,
Great help  to resolve my problem,Guillermo A,Rated 5 out of 5 stars,US,1 review,2019-05-07T15:26:05.000Z,,
Very awesome experience thank you,Sophia,Rated 5 out of 5 stars,US,1 review,2019-05-07T15:17:23.000Z,,
You were very helpful and had my new…,PAMELA B,Rated 5 out of 5 stars,US,2 reviews,2019-05-07T14:54:51.000Z,,You were very helpful and had my new phone to me in no time.  I'm very pleased with Asurion
First Cell Phone Replacement Was No Good.,Karma Dean,Rated 4 out of 5 stars,US,2 reviews,2019-05-07T12:48:58.000Z,,My original cell phone was better than my first replacement.  It was not compatible with any of the ATT apps as well as other important apps that I needed.  A second replacement had to be sent to me.
The service we received was excellent,Cape Christian Fellowship Inc,Rated 5 out of 5 stars,US,1 review,2019-05-07T12:28:28.000Z,,The service we received was excellent. Thank you!
Cell phone,Christian,Rated 5 out of 5 stars,US,1 review,2019-05-07T11:07:36.000Z,,Excellent service and fast
Customer Service was excellent and I…,FELICIA M,Rated 5 out of 5 stars,US,1 review,2019-05-07T02:49:01.000Z,,Customer Service was excellent and I received my devise. Thanks for the great experience.
Thanks so much for your excellent…,Jamethea,Rated 5 out of 5 stars,US,1 review,2019-05-07T02:43:10.000Z,,Thanks so much for your excellent customer service.
Great service and fast replacement,Gwendolyn,Rated 5 out of 5 stars,US,1 review,2019-05-07T02:36:25.000Z,,
Friendly,REBECCA L,Rated 4 out of 5 stars,US,1 review,2019-05-06T23:18:17.000Z,,Easy to talk with and always helpful
Was easy making the claim and got a…,MICHAEL P,Rated 5 out of 5 stars,US,1 review,2019-05-06T19:44:33.000Z,,Was easy making the claim and got a replacement really fast.
I couldn't believe how quickly they…,Joe,Rated 5 out of 5 stars,US,3 reviews,2019-05-06T19:06:15.000Z,,"I couldn't believe how quickly they answered the phone and how they were concerned and understanding about my problem. Also when they started to give me options about what phone to choose as a replacement, everything I inquired about each phone they offered, they had every answer to any questions I had about each phone. Then after I chose which phone I wanted they said I would receive it in a couple of days. Well, the next morning I received the phone. Then shortly after they emailed me asking if everything is going well. Nothing short of a 5 star rating from start to finish!!!!"
Fast service and can be done online.,Jermaine,Rated 5 out of 5 stars,US,1 review,2019-05-06T18:54:58.000Z,,
Phone replacement,Melinda,Rated 5 out of 5 stars,US,1 review,2019-05-06T18:48:09.000Z,,Staff was very helpful and assisted me quickly and professionally when I had to replace my sons phone.
I couldn't believe how fast and easy…,Scott D,Rated 5 out of 5 stars,US,1 review,2019-05-06T18:32:52.000Z,,I couldn't believe how fast and easy this all was. The simple and easy process makes a big difference when you're losing your mind because you broke your phone and don't know what to do.
My phone arrived fast It was an easy…,Nancy,Rated 5 out of 5 stars,US,1 review,2019-05-06T17:46:42.000Z,,My phone arrived fast It was an easy process
Very efficient,Jaime,Rated 5 out of 5 stars,US,1 review,2019-05-06T17:32:25.000Z,,Very efficient ! i’m so glad to have you all !
Simple transaction,Integrity Works,Rated 5 out of 5 stars,US,3 reviews,2019-05-06T17:26:17.000Z,,I used the website to arrange replacement for a broken device. The replacement was here the next day and all the supplies I needed to make the return were included. Easy transaction.
Kildare Clarke MD JD,Kildare,Rated 5 out of 5 stars,US,1 review,2019-05-06T16:59:52.000Z,,"I have had such a wonderful relationship with this company in dealing with my claim, they were as fast as light"
I was very thrilled with the experience…,Scott,Rated 5 out of 5 stars,US,2 reviews,2019-05-06T16:46:15.000Z,,"I was very thrilled with the experience I had using my phone insurance. After demolishing my phone in a farming incident, I turned in my claim one afternoon and had my new phone the next morning. I used the iCloud back up and kept my old Sim card and it’s like I never missed a beat. Thank you!"
Fast service.,Miguel Santiago  Viera,Rated 5 out of 5 stars,US,1 review,2019-05-06T16:42:19.000Z,,
1 day amazing,C Anderson Russell,Rated 5 out of 5 stars,US,2 reviews,2019-05-06T16:15:46.000Z,,Can’t believe how efficient
Awesome Response Time!,Irene,Rated 5 out of 5 stars,US,1 review,2019-05-06T16:02:12.000Z,,I was very please to see by phone at my doorstep the very next morning. Thank you.
The process was easy and quick,SHONA B,Rated 5 out of 5 stars,US,1 review,2019-05-06T15:57:21.000Z,,
We had a new phone up and running in…,Deborah,Rated 5 out of 5 stars,US,2 reviews,2019-05-06T15:55:56.000Z,,"We had a new phone up and running in less than 24 hours after the accident - and we were 3,000 miles from home."
Thank you for being very helpful and…,JASON B,Rated 5 out of 5 stars,US,1 review,2019-05-06T15:23:14.000Z,,Thank you for being very helpful and very quick service.
Great experience for a not so great…,Heather,Rated 5 out of 5 stars,US,1 review,2019-05-06T15:22:30.000Z,,Great experience for a not so great situation!
Fast shipment,Rene,Rated 5 out of 5 stars,US,1 review,2019-05-06T15:19:45.000Z,,"Fast shipment, no hassle"
Representative was very patient and…,Thomas,Rated 5 out of 5 stars,US,1 review,2019-05-06T15:15:53.000Z,,Representative was very patient and helpful in assisting me with my iPhone back up to the cloud. All went well. Thank you
Got the replacement really quick,Denny.,Rated 4 out of 5 stars,US,1 review,2019-05-06T15:05:30.000Z,,"Got the replacement really quick, smooth transition."
I have been extremely satisfied with…,Gordon,Rated 5 out of 5 stars,US,1 review,2019-05-06T15:00:21.000Z,,"I have been extremely satisfied with Asurion customer service, prompt responses and overnight phone replacements."
it pays to have insurance,Norma,Rated 5 out of 5 stars,US,1 review,2019-05-06T14:57:05.000Z,,
Very helpful,Cassandra,Rated 5 out of 5 stars,US,1 review,2019-05-06T14:50:52.000Z,,
Had my phone in 2 days.,Michael,Rated 5 out of 5 stars,US,1 review,2019-05-06T14:38:52.000Z,,
Worth having the insurance,Bob,Rated 5 out of 5 stars,US,2 reviews,2019-05-06T14:21:32.000Z,,"This was by far the easiest, smoothest claim I’ve ever had. AT&T was very understanding and helpful. My phone arrived in 2 days and was ready to go out of the box."
Quick service,Jacklyn,Rated 5 out of 5 stars,US,1 review,2019-05-06T14:08:03.000Z,,They were quick on the phone and quick to deliver my phone the very next day. I’ve used them before and I will continue to use them for their good service.
Fast service and great customer service.,DAVID G,Rated 5 out of 5 stars,US,1 review,2019-05-06T14:00:39.000Z,,
