titre,nom,stars,localisation,nb_reviews,date_review,date_experience,comment
Fast and easy service.,KRISTY A,Rated 5 out of 5 stars,US,1 review,2018-06-01T02:24:51.000Z,,
Great customer service getting me…,MATHEW F,Rated 5 out of 5 stars,US,1 review,2018-06-01T02:23:22.000Z,,Great customer service getting me reconnected in under 24 hours.
Every thing went so smooth and timely,RONALD T,Rated 5 out of 5 stars,US,1 review,2018-06-01T02:00:11.000Z,,Every thing went so smooth and timely. Very satisfied
Helpful and got me to where I needed to…,EricGarcia,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T01:49:43.000Z,,Helpful and got me to where I needed to get to
Tried,SHECOLE S,Rated 2 out of 5 stars,US,1 review,2018-06-01T01:41:01.000Z,,Tried but it was an inadequate experience with a lot of friction
Thank you!,BARBARA P,Rated 5 out of 5 stars,US,1 review,2018-06-01T01:39:45.000Z,,Thank you! Very great and fast!
Initially I received a refurbished…,KAREN G,Rated 4 out of 5 stars,US,1 review,2018-06-01T01:25:15.000Z,,"Initially I received a refurbished phone. After a few days, the phone function stopped working. I spoke with a rep & was assured of a new upgraded phone. Within 2 days, I was up and running with a new phone. Very happy with response"
Fast delivery no hassle,NELSON M,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T01:25:02.000Z,,
I was Out of state on vacation when I…,DONDRA B,Rated 4 out of 5 stars,US,1 review,2018-06-01T01:21:33.000Z,,I was Out of state on vacation when I drop my phone and it shattered. I could not get them to understand I could not get emails or anything and please tell me how much I owed. It took an extra day and meCalling again and finally getting a hold of somebody that understood my problem. Other than that it was great they delivered my phone to the hotel where I was staying
Quick turn around and easy setup of new…,Thomas P,Rated 5 out of 5 stars,US,1 review,2018-06-01T01:18:02.000Z,,Quick turn around and easy setup of new phone.
Submitted my claim online (took me like…,FLOR D,Rated 5 out of 5 stars,US,1 review,2018-06-01T01:09:00.000Z,,Submitted my claim online (took me like 3 minutes) and got my replacement the next day. This process was super fast and easy. Thank you!
Y'all did good,LYLE T,Rated 5 out of 5 stars,US,1 review,2018-06-01T01:08:45.000Z,,
Great service and fast shipping,PENELOPE N,Rated 5 out of 5 stars,US,1 review,2018-06-01T01:07:12.000Z,,Great service and fast shipping. Thanks
Courteous and helpful customer service,BENJAMIN C,Rated 5 out of 5 stars,US,1 review,2018-06-01T00:51:54.000Z,,Courteous and helpful customer service. Screen on my phone cracked. They sent someone to my house to replace it! Then back of phone cracked. I received a replacement the next day!
Very easy and fast process!,JEFFREY K,Rated 5 out of 5 stars,US,1 review,2018-06-01T00:48:53.000Z,,
You guys did an awesome job for me,WAYLON G,Rated 5 out of 5 stars,US,1 review,2018-06-01T00:42:16.000Z,,
Very quick and easy,JO A,Rated 5 out of 5 stars,US,1 review,2018-06-01T00:42:09.000Z,,
Awesome service,JIMMY R,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T00:40:17.000Z,,Awesome service! Received my phone the next day. Easy to set up and easy send my broken phone in.
Got my new phone the next day.,CHRISTOPHER F,Rated 5 out of 5 stars,US,4 reviews,2018-06-01T00:33:10.000Z,,
Great service,MARGARET M,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T00:31:54.000Z,,Great service. Customer service was fast and courteous.
all good,DAVID B,Rated 5 out of 5 stars,US,1 review,2018-06-01T00:21:06.000Z,,"all good, dont know what more to say."
Fast delivery,John Holm,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T00:14:02.000Z,,"Fast delivery, easy to use, product was better than original.  Who could ask for more."
Fast,DAVID W,Rated 5 out of 5 stars,US,1 review,2018-06-01T00:13:17.000Z,,"Fast, professional, and a quality product."
Great service!!!!!,MICHAEL D,Rated 4 out of 5 stars,US,1 review,2018-06-01T00:05:40.000Z,,
Terrific care and concern to me,LAUREL S,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T00:05:27.000Z,,Terrific care and concern to meThank you
Good,ANDREW T,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T00:04:40.000Z,,My return was satisfactory
I love my Samsung 8+.,TAMMY Motel ,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T00:02:20.000Z,,
very quick and easy,DENISE D,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T23:55:32.000Z,,
Waited weeks for the phone then called…,ROBERT B,Rated 4 out of 5 stars,US,1 review,2018-05-31T23:54:16.000Z,,Waited weeks for the phone then called to see the replacement status. They were waiting for a $150 payment which I thought was going to be billed to our Verizon bill. Was not made aware that I needed to pay them direct.  Once I paid the $150 the phone arrived the next day.
Fast and easy online process.,NORMA A,Rated 5 out of 5 stars,US,1 review,2018-05-31T23:54:08.000Z,,
Awesome Job,SCOTT R,Rated 5 out of 5 stars,US,4 reviews,2018-05-31T23:49:33.000Z,,Whole process was quick and painless.  It went very smoothly.
Thank you for being there and having…,ANDREW T,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T23:43:06.000Z,,Thank you for being there and having such great customer service.
It is great having insurance and Asurion,ALLAN H,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T23:03:31.000Z,,"I lost my phone. Then I called my insurance, Asurion, and I got a new replacement phone."
Fast and exellcalent service,MOSES S,Rated 5 out of 5 stars,US,1 review,2018-05-31T22:22:43.000Z,,
iPhone replacement,JOSEPH P,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T21:52:45.000Z,,"The process was easy , the representative I spoke with on the phone was very helpful."
The last time i had to get my phone…,JT JT,Rated 1 out of 5 stars,US,1 review,2018-05-31T21:34:40.000Z,,"The last time i had to get my phone replaced they had sent me 4 phones before i got one that wasn't defective. including a screen coming loose, a warped frame, and a touch screen coming loose, and also completely the wrong phone once. It took like two weeks to get all of this solved. They also lied several times by giving me a different story every time i called. Once i was even waiting on a phone they never shipped .... i was told i was supposed to call them back and tell them if i wanted them to ship my replacement phone when they received the defective  phone ... why would i want a defective phone and how am i supposed to know when you receive the phone...... Any way I""m  going for round two they have already sent me one the touch screen doesn't  work on."
Pleased with experience but need new cord.,GARY BAUER,Rated 5 out of 5 stars,US,1 review,2018-05-31T21:21:18.000Z,,"The Overall experience was prompt and efficient. I was pleased with the quick replacement of my defective phone.However I do have a problem with the charging  cord. It does not accommodate the turbo charging system that the phone has.It takes much, much longer to charge the phone and the cord gets very hot which concerns me. I never had this problem with the previous phone and charging cord.Please send me a new charging cord which will work with the turbo charging feature of my phone.Thank you for your assistance.Gary Bauer (813) 690-4029"
Quick and easy.,IRIS R,Rated 5 out of 5 stars,US,1 review,2018-05-31T20:45:35.000Z,,
Glad we had insurance :),VM,Rated 5 out of 5 stars,US,1 review,2018-05-31T20:02:22.000Z,,Problem handled efficiently and professionally.  Replacement phone was sent promptly.
Addition was able to help us quickly…,KATHLEEN H,Rated 5 out of 5 stars,US,1 review,2018-05-31T19:42:43.000Z,,Addition was able to help us quickly and in an uncomplicated way. Thank you
Made two appointments,TERESA L,Rated 1 out of 5 stars,US,2 reviews,2018-05-31T19:32:00.000Z,,Made two appointments. No one showed or called. I think that says it all.
Speedy service.,Irak,Rated 5 out of 5 stars,US,1 review,2018-05-31T19:05:14.000Z,,
Fast and good service!,WILLIAM T,Rated 5 out of 5 stars,US,1 review,2018-05-31T19:03:26.000Z,,
Thank you for the fast response,JACKIE B,Rated 5 out of 5 stars,US,1 review,2018-05-31T16:01:38.000Z,,"Thank you for the fast response.  I'm learning now how to operate the phone now, just a little different from my Samsung."
I had my phone the next day,SCOTT S,Rated 5 out of 5 stars,US,1 review,2018-05-31T15:49:32.000Z,,I had my phone the next day. Thank you
Quick and professional,Fu,Rated 4 out of 5 stars,US,1 review,2018-05-31T15:39:21.000Z,,
Very timely,JUSTIN D,Rated 3 out of 5 stars,US,1 review,2018-05-31T15:29:00.000Z,,Very timely. Didn’t come on time though.
Great and fast service,ANTWAN ,Rated 5 out of 5 stars,US,1 review,2018-05-31T15:17:47.000Z,,Great and fast service. They have great customer service.
Quick and easy process.,DONALD C,Rated 5 out of 5 stars,US,1 review,2018-05-31T14:48:09.000Z,,
Asurion - very professional,MICHELE P,Rated 5 out of 5 stars,US,1 review,2018-05-31T14:17:06.000Z,,Asurion made the process of replacing my stepson's phone very easy and no stress.  The process was smooth and everything worked out perfectly.
Top notch service,KRISTINA G,Rated 5 out of 5 stars,US,1 review,2018-05-31T14:09:41.000Z,,Top notch service!  I received a new phone in the mail the very next day!
Everything was great,MISTIE G,Rated 5 out of 5 stars,US,1 review,2018-05-31T14:08:41.000Z,,Everything was great. Thank you so much.
They did everything as explained,BRADLEY B,Rated 5 out of 5 stars,US,1 review,2018-05-31T14:07:58.000Z,,They did everything as explained.  No issues and prompt service.
Awesome experience,RYAN C,Rated 5 out of 5 stars,US,1 review,2018-05-31T13:50:22.000Z,,Awesome experience. Thanks.
just wish the deductible wasn't so…,EUGENE W,Rated 5 out of 5 stars,US,1 review,2018-05-31T13:39:23.000Z,,"just wish the deductible wasn't so high, I'm almost buying the phone again"
File claim thru web page,Jesus Horta,Rated 5 out of 5 stars,US,1 review,2018-05-31T13:25:36.000Z,,File claim thru web page. Fast and easy. Next day we have my phone... thank you for great service.
Super service!,Terry C,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T13:25:34.000Z,,"Had new device within a day. Very prompt! Used online claim form, easy to complete. Very satisfied!"
No one told me that I needed to up my…,ANDREA O,Rated 1 out of 5 stars,US,1 review,2018-05-31T13:09:25.000Z,,No one told me that I needed to up my protection when I submitted my last claim so that the rest of my phones would be protected. So I am very disappointed in your services.
Easy to submit requests and quick to…,Imber H,Rated 5 out of 5 stars,US,1 review,2018-05-31T13:04:03.000Z,,Easy to submit requests and quick to receive replacement phone.
The process was amazing and the…,Nykky ,Rated 5 out of 5 stars,US,1 review,2018-05-31T13:02:58.000Z,,The process was amazing and the shipping was very fast. I was devastated after losing my brand new phone and u made this awful situation better immediately. Thanks for all of y’all help!!!!!
Phone replacement,PATTI M,Rated 3 out of 5 stars,US,1 review,2018-05-31T12:59:27.000Z,,"Everything went very smoothly and timely EXCEPT the aftermarket charger did not work at all. We sent it back and have yet to receive a replacement. Please look into this and get us our new one.  Thanks, Patti"
I was pleasantly surprised to find the…,ROBERTA C,Rated 5 out of 5 stars,US,1 review,2018-05-31T12:57:21.000Z,,I was pleasantly surprised to find the protective case included to protect the replacement phone. I especially appreciate the discounted cost because I have not previously used the service.
thanks for the help!,JEFF J,Rated 4 out of 5 stars,US,1 review,2018-05-31T12:54:01.000Z,,
Very fast service,JASON B,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T12:51:34.000Z,,I made my claim in the afternoon and had my new phone delivered to my door by about 10am the next day.
excellent,ELAINE A,Rated 5 out of 5 stars,US,1 review,2018-05-31T12:51:24.000Z,,excellent. very easily done
You went beyond my expectations!,COREY H,Rated 5 out of 5 stars,US,1 review,2018-05-31T12:49:21.000Z,,
The process was fast.,MARISOL C,Rated 5 out of 5 stars,US,1 review,2018-05-31T12:48:26.000Z,,
Easy,SAREPIO C,Rated 5 out of 5 stars,US,1 review,2018-05-31T12:39:17.000Z,,"Easy, no hassle"
Great service and fast,DON C,Rated 5 out of 5 stars,US,1 review,2018-05-31T12:14:22.000Z,,
Great service,JARED P,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T11:46:48.000Z,,
Thank you for making things easy.,RHONDA L,Rated 4 out of 5 stars,US,2 reviews,2018-05-31T11:22:54.000Z,,
Very good experience.,ED V,Rated 5 out of 5 stars,US,1 review,2018-05-31T11:21:48.000Z,,Very good experience.. Process was quick and easy.
Thank you I was able to connect really…,TINA A,Rated 5 out of 5 stars,US,1 review,2018-05-31T11:20:18.000Z,,Thank you I was able to connect really fast with the new device and get everything transferred over thank you very much. I appreciate all the hard work you guys do to satisfy your customers.
I called with issues on Sat and on the…,LYNN N,Rated 5 out of 5 stars,US,1 review,2018-05-31T11:16:40.000Z,,I called with issues on Sat and on the following Tues I had my replacement phone . Very helpful and so easy to file a claim. In all my years with ATT(over 20) this is the first claim I have ever filed . Thank you for making it an easy experience !
Fast service on getting new device,Leslie K,Rated 4 out of 5 stars,US,1 review,2018-05-31T10:58:19.000Z,,Fast service on getting new device. But monthly bills are outrageous especially when service is 50/50 that it works AT&T has the worse service by far and the most expensive Phones should not cost over 40$ a months These iPhones are so over priced and if u don’t upgrade the fall will freeze up or something will happen to it there not worth the 1000$ I do know that I have 6 apple devices and pay 469$ every month weather I got service or not it’s a shame
Easy and quick,PRAVIN P,Rated 5 out of 5 stars,US,1 review,2018-05-31T10:54:03.000Z,,
Very impressed,JUDY P,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T10:47:25.000Z,,
Quick and easy,THOMAS W,Rated 5 out of 5 stars,US,1 review,2018-05-31T10:44:53.000Z,,Quick and easy. Had no problems at all.
Very professional.,FERNANDO A,Rated 5 out of 5 stars,US,1 review,2018-05-31T09:59:47.000Z,,Very professional.Thanks for your help.
Quick and easy iPhone replacement!,vscott,Rated 5 out of 5 stars,US,1 review,2018-05-31T09:35:09.000Z,,
I am so.very pleased with your company…,ROSEMARY M,Rated 5 out of 5 stars,US,1 review,2018-05-31T09:15:20.000Z,,I am so.very pleased with your company and how fast you work for the customers.
The customer service was great!,Cynthia Bucher,Rated 5 out of 5 stars,US,3 reviews,2018-05-31T08:10:33.000Z,,The customer service was great! We could not of been happier with our experience...thank you for keeping my husband (Randy Bucher) connected to his phone.  Cynthia Bucher
Fast and hassle free service!,MIKE T,Rated 5 out of 5 stars,US,1 review,2018-05-31T07:38:37.000Z,,
Five Stars!!!,SARAH A,Rated 5 out of 5 stars,US,1 review,2018-05-31T06:42:04.000Z,,
Difficult process,ARTURO T,Rated 4 out of 5 stars,US,1 review,2018-05-31T06:39:04.000Z,,Difficult process. Said it would take a few hours and took a few days
Asurion makes it so easy,Christine B,Rated 5 out of 5 stars,US,1 review,2018-05-31T04:39:35.000Z,,"Asurion makes it so easy.  The shipping was fast, the staff are friendly and helpful.  I have had several replacements over the years and they have always made it bearable."
Received my phone but,Carla K,Rated 4 out of 5 stars,US,1 review,2018-05-31T04:06:07.000Z,,"Received my phone but, not the memory card that was supposed to be included. I had the make a trip to the Verizon store before I could do anything with my phone."
Very fast hassle Free,FELIPE M,Rated 5 out of 5 stars,US,1 review,2018-05-31T03:25:24.000Z,,
Well done!,ADRIENNE C,Rated 5 out of 5 stars,US,1 review,2018-05-31T03:16:34.000Z,,Well done! Well done!
Quick service,ALVIN D,Rated 5 out of 5 stars,US,1 review,2018-05-31T03:05:04.000Z,,Quick service. Happy!
Fast and responsive to my personal…,ROGER P,Rated 5 out of 5 stars,US,1 review,2018-05-31T03:00:01.000Z,,Fast and responsive to my personal problem.
"Fast, great, and New",Brittany ,Rated 5 out of 5 stars,US,1 review,2018-05-31T02:33:34.000Z,,"My house was broken into and my Apple Watch was one of the items stolen. I called Monday night at 6pm to file the claim, easy payment process, and I had a brand new watch Tuesday 10am. So happy they were so nice and quick on the phone and speedy shipping."
Excellent service.,WANDA S,,US,3 reviews,2018-05-31T02:29:38.000Z,,
Great fast service,Krista ,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T02:19:33.000Z,,
Very good experience and delivered as…,LYNDA R,Rated 4 out of 5 stars,US,2 reviews,2018-05-31T02:08:44.000Z,,Very good experience and delivered as promised.
Very Satisfied!,GUY K,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:59:22.000Z,,"I am so pleased with the excellent service that I received from Asurion,  The whole experience, from filing the claim to receiving my replacement phone.  It only took 1 day for the new phone to come overnight.Thank you for putting my mind at ease."
Replacement was fast,PAUL T,Rated 4 out of 5 stars,US,1 review,2018-05-31T01:58:18.000Z,,"Replacement was fast.  Everything worked great, transfer of data was smooth."
Fast and easy,NATHAN C,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:57:22.000Z,,
Did good job.,MICHAEL B,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:50:57.000Z,,
Received my new phone in one day and…,COLLEEN J,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:47:53.000Z,,Received my new phone in one day and had no problem sending the damaged phone back.
Great experience,KEITH S,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:39:42.000Z,,Great experience.  Fast and easy.
Great experience,TAMMY E,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:36:16.000Z,,Great experience. The service and turn around time were excellent! Thank you for making it so quick and easy.
Service was Excellent...,CAROL S,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T01:36:06.000Z,,
I’ve had to make claims multiple times…,DERRICK K,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:35:32.000Z,,I’ve had to make claims multiple times and I’ve always gotten prompt and respectful service. Asurion has been extremely easy to work with.
So far so good  THanks,Ms Carol Collins,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T01:35:01.000Z,,
Much better than expected,WILLIAM F,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:34:19.000Z,,"Much better than expected. I was in customer service for the cellular industry back when we had the brick phones.  The hustle for insurance claims was just part of the deal. I was surprised to have no haste at all, and I had my replacement befor I had time to miss the broken one."
You were great,JANA E,Rated 5 out of 5 stars,US,1 review,2018-05-31T01:33:26.000Z,,You were great! Both times within a month!
Very pleased,Danae Schneider,Rated 5 out of 5 stars,US,2 reviews,2018-05-31T01:31:10.000Z,,"Very pleased, easy transaction"
Pretty quick and seamless...,TED W,Rated 5 out of 5 stars,US,3 reviews,2018-05-31T01:25:49.000Z,,Pretty quick and seamless...I'm back up and running again.
fast,CHRIS W,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:56:41.000Z,,fast quick service
Fast and efficient,STUART S,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:46:57.000Z,,
No issues,KELLY D,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:44:10.000Z,,No issues. Everything went smooth.
Very easy and fast service.,MICHAEL H,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:42:13.000Z,,
"Phone ruined, pictures lost, headache to deal with this company",A.T.,Rated 1 out of 5 stars,US,1 review,2018-05-31T00:38:48.000Z,,"My phone had a cracked screen. A technician came to fix it. He lost track of a screw and ended up damaging the battery. All the pictures and videos on the phone were lost forever. The technician took full blame for the accident and told me Asurion would be replacing the phone for free. He gave me a number to call and I called it. The first agent I talked to reassured me the phone would be paid for and to email in the appropriate documents. I did just that. I got a call to verify shipping. I was told I owed $200 for a new phone. I spoke with 4 or 5 different people who did not communicate with each other and I kept being told I had to pay $200 and send the old phone back (which I did not have). I finally got someone to understand what happened and they verified my shipping address and finally sent me a replacement phone for free. But they sent it to the wrong address. Not only did I get my phone ruined and lost all the memories with it, I had to deal with all these frustrations due to poor communication between the technician and each customer service agent. Needless to say, I cancelled my Asurion plan and will no longer be using their service. Apple Care is way better and cheaper anyway."
Wonderful fast great customer service,ALISON W,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:38:11.000Z,,
Wish I could have had a choice of…,AMY ,Rated 4 out of 5 stars,US,1 review,2018-05-31T00:38:08.000Z,,Wish I could have had a choice of phones.
My experience was excellent practically…,PAUL M,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:35:36.000Z,,My experience was excellent practically no down time very efficient in processing the claim.  Thank you.
My experience was great everything went…,CHRISTOPHER R,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:30:41.000Z,,My experience was great everything went well and I got my device within 24 hours grateful thanks
Done with no hassle,MARSHA R,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:19:17.000Z,,"Done with no hassle, awesome."
Wonderful and easy experience!,ANGIE H,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:12:27.000Z,,
Quick and easy.,JEFFREY G,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:09:54.000Z,,
Was a tad leery but request was easy…,PJ,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:07:29.000Z,,Was a tad leery but request was easy and received phone quickly.
Could not believe how fast your service…,MARGARET W,Rated 5 out of 5 stars,US,1 review,2018-05-31T00:05:42.000Z,,Could not believe how fast your service is.   I am very pleased.
quick reply and got phone right away,CHRIS L,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:59:48.000Z,,
Quick easy process,HOLLY S,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:57:54.000Z,,Quick easy process. Had my phone the next day.
Super easy and convenient!!,NL,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:56:58.000Z,,
Very fast delivery,BRENDA ,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:56:06.000Z,,Very fast delivery! Easy to replace the tablet.
That was one of the seamless…,ADAM C,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:53:17.000Z,,That was one of the seamless transaction having to get a replacement for my phone. 5 Stars all the way.
They were very helpful and made the… Asurion,DON C,Rated 5 out of 5 stars,US,3 reviews,2018-05-30T23:49:04.000Z,,They were very helpful and made the exchange easy by providing all supplies necessary.
Prompt and frictionless interaction…,CESAR SALAZAR ,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:43:00.000Z,,Prompt and frictionless interaction during two recent iPhone claims.
Quick delivery of replacement and…,RICHARD S,Rated 5 out of 5 stars,US,2 reviews,2018-05-30T23:42:34.000Z,,Quick delivery of replacement and awesome customer service.
No hassle experience,MATT O,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:35:14.000Z,,
Was able to get my replacement quick…,JESUS C,Rated 5 out of 5 stars,US,1 review,2018-05-30T23:34:09.000Z,,Was able to get my replacement quick fast and in a hurry. There were no issues with the replacement or the package to send my old device back. Flawless customer service!
Finished,JOHN M,Rated 4 out of 5 stars,US,1 review,2018-05-30T22:32:44.000Z,,Quick and easy
Great experience,CAROLYN B,Rated 5 out of 5 stars,US,2 reviews,2018-05-30T22:31:51.000Z,,Great experience!  Unreal how they are able to respond and send you a new phone so quickly!
Was easy quick service.,ANGELA F,Rated 5 out of 5 stars,US,1 review,2018-05-30T22:03:18.000Z,,
Broke my phone on a Friday night,PETER V,Rated 5 out of 5 stars,US,2 reviews,2018-05-30T21:53:04.000Z,,"Broke my phone on a Friday night, reported it on Saturday, received a new one on Monday!!"
You took care of me very professionally…,B S,Rated 5 out of 5 stars,US,1 review,2018-05-30T21:15:04.000Z,,You took care of me very professionally and expeditiously. I appreciate your service. Thank you
I am so upset that I keep getting…,Rob,,US,1 review,2018-05-30T20:37:35.000Z,,I am so upset that I keep getting horrible replacement phone. Each phone I received had a problem. Now the lady telling me that I will just have to keep calling in of each phone they send me have a problem. None of them shouldn't have a problem. The team is know help.
Broke my phone on Friday,GARY C,Rated 5 out of 5 stars,US,1 review,2018-05-30T20:24:08.000Z,,"Broke my phone on Friday.  Had new phone Saturday, with holiday weekend.  Definitely better than promised"
Easy to do business with,CHRISTINA B,Rated 5 out of 5 stars,US,1 review,2018-05-30T19:02:50.000Z,,
Easy and convenient,RYAN W,Rated 5 out of 5 stars,US,1 review,2018-05-30T17:12:22.000Z,,
Great fast service,KAY McEntire,Rated 5 out of 5 stars,US,1 review,2018-05-30T17:11:23.000Z,,
great- delivered as promised,DANIEL B,Rated 4 out of 5 stars,US,7 reviews,2018-05-30T17:10:46.000Z,,
The new phone arrived,GERALD M,Rated 4 out of 5 stars,US,2 reviews,2018-05-30T17:03:48.000Z,,"The new phone arrived , however with her work schedule she will not be able to get the new phone working until Monday !"
Every thing was fast and easy,ALISHA H,Rated 5 out of 5 stars,US,1 review,2018-05-30T16:40:15.000Z,,Every thing was fast and easy.  Thanks!
Next Day Service,ROBERT L,Rated 5 out of 5 stars,US,3 reviews,2018-05-30T16:03:53.000Z,,"Next Day Service. Filed a claim on a Sunday morning, phone was at my door at 4 pm on Monday.  Completely Satisfied."
Great experience,Vicki Sparks,Rated 5 out of 5 stars,US,1 review,2018-05-30T15:56:52.000Z,,"Great experience, they shipped on a Sunday and by mid morning Monday we were operational again.  Thanks!"
Timely,Mya,Rated 5 out of 5 stars,US,4 reviews,2018-05-30T15:55:57.000Z,,Timely. Took care of claim without a hassle.  Got my new phone and I am happy.  Thank you.
Easy honest transaction done quickly,JOHN B,Rated 5 out of 5 stars,US,1 review,2018-05-30T15:50:36.000Z,,Easy honest transaction done quickly.  Thanks.
